freq,psd_x,psd_y,psd_z,psd_xyz
146.2,3.699e+03,1.885e+03,5.750e+03,1.133e+04
147.8,3.496e+03,2.114e+03,5.723e+03,1.133e+04
149.4,2.265e+03,1.626e+03,4.902e+03,8.792e+03
151.0,4.547e+03,2.383e+03,1.088e+04,1.781e+04
152.7,6.936e+03,2.648e+03,1.679e+04,2.637e+04
154.3,6.380e+03,2.644e+03,1.792e+04,2.694e+04
155.9,5.314e+03,2.478e+03,1.690e+04,2.470e+04
157.5,4.764e+03,2.194e+03,1.548e+04,2.244e+04
159.1,4.566e+03,1.818e+03,1.433e+04,2.071e+04
160.7,4.527e+03,1.429e+03,1.209e+04,1.805e+04
162.3,4.798e+03,1.171e+03,8.908e+03,1.488e+04
163.9,5.443e+03,1.404e+03,5.700e+03,1.255e+04
165.5,6.289e+03,1.958e+03,3.354e+03,1.160e+04
167.1,7.218e+03,2.379e+03,2.312e+03,1.191e+04
168.7,8.260e+03,2.085e+03,2.076e+03,1.242e+04
170.3,8.284e+03,1.362e+03,2.669e+03,1.231e+04
171.9,5.779e+03,1.020e+03,3.388e+03,1.019e+04
173.5,3.287e+03,1.762e+03,3.923e+03,8.973e+03
175.1,2.651e+03,2.957e+03,3.833e+03,9.440e+03
176.8,2.868e+03,4.179e+03,3.838e+03,1.088e+04
178.4,3.085e+03,4.713e+03,3.554e+03,1.135e+04
180.0,3.143e+03,4.597e+03,2.816e+03,1.056e+04
181.6,3.294e+03,4.276e+03,2.204e+03,9.773e+03
183.2,3.425e+03,3.711e+03,1.901e+03,9.037e+03
184.8,3.593e+03,3.333e+03,1.881e+03,8.808e+03
186.4,3.567e+03,3.038e+03,1.926e+03,8.531e+03
188.0,3.360e+03,2.798e+03,1.923e+03,8.081e+03
189.6,3.190e+03,2.525e+03,1.847e+03,7.562e+03
191.2,3.105e+03,2.344e+03,1.683e+03,7.132e+03
192.8,3.080e+03,2.213e+03,1.555e+03,6.848e+03
194.4,2.971e+03,2.148e+03,1.440e+03,6.559e+03
196.0,2.858e+03,2.083e+03,1.339e+03,6.280e+03
197.6,2.597e+03,2.011e+03,1.285e+03,5.893e+03
199.2,2.227e+03,2.053e+03,1.155e+03,5.435e+03
