freq,psd_x,psd_y,psd_z,psd_xyz
178.4,1.090e+03,2.486e+03,1.179e+03,4.755e+03
180.0,9.812e+02,2.687e+03,9.897e+02,4.658e+03
181.6,8.573e+02,2.835e+03,7.990e+02,4.491e+03
183.2,7.331e+02,2.850e+03,7.023e+02,4.286e+03
184.8,7.004e+02,2.973e+03,5.904e+02,4.263e+03
186.4,6.302e+02,3.013e+03,4.280e+02,4.071e+03
188.0,5.107e+02,3.030e+03,3.068e+02,3.848e+03
189.6,4.540e+02,3.233e+03,2.560e+02,3.943e+03
191.2,4.899e+02,3.500e+03,2.389e+02,4.229e+03
192.9,5.899e+02,3.824e+03,2.350e+02,4.649e+03
194.5,7.083e+02,4.197e+03,2.478e+02,5.153e+03
196.1,8.743e+02,4.448e+03,3.187e+02,5.641e+03
197.7,1.105e+03,4.959e+03,4.394e+02,6.504e+03
199.3,1.277e+03,5.446e+03,5.112e+02,7.234e+03
